"ano_campeonato","data","rodada","estadio","publico","time_mandante","time_visitante","tecnico_mandante","tecnico_visitante","colocacao_mandante","colocacao_visitante","valor_equipe_titular_mandante","valor_equipe_titular_visitante","idade_media_titular_mandante","idade_media_titular_visitante","gols_mandante","gols_visitante","gols_1_tempo_mandante","gols_1_tempo_visitante"
2023,"2023-10-30",30,"Estádio Olímpico Nilton Santos",30659,"Botafogo","Cuiabá-MT","Lúcio Flávio","Toni Oliveira",1,10,3000,1035,29.9,27.7,0,1,0,0
2023,"2023-11-26",35,"Estádio Olímpico Nilton Santos",29387,"Botafogo","Santos","Tiago Nunes","Marcelo Fernandes",3,15,2960,4070,30,26.3,1,1,1,0
2023,"2023-05-28",8,"Estádio Cícero Pompeu de Toledo",45429,"São Paulo","Goiás","Dorival Júnior","Émerson Ávila",3,17,2870,1115,27.5,28.5,2,1,0,1
2023,"2023-06-22",11,"Estádio Cícero Pompeu de Toledo",22882,"São Paulo","Athletico-PR","","",6,11,3110,4425,27.7,26.2,2,1,1,1
2023,"2023-07-16",15,"Estádio Cícero Pompeu de Toledo",58127,"São Paulo","Santos","Dorival Júnior","Paulo Turra",4,15,2300,3550,28.6,27,4,1,2,0
2023,"2023-09-28",22,"Estádio Cícero Pompeu de Toledo",31720,"São Paulo","Coritiba FC","Dorival Júnior","Thiago Kosloski",10,20,2830,1325,26.1,31.8,2,1,2,1
2023,"2023-09-30",25,"Estádio Cícero Pompeu de Toledo",56735,"São Paulo","Corinthians","Dorival Júnior","Mano Menezes",10,13,3910,2215,28.1,28.4,2,1,2,1
2023,"2023-05-21",7,"Arena do Grêmio",39438,"Grêmio","Internacional","Renato Portaluppi","Mano Menezes",10,15,2850,2155,29.6,28.8,3,1,2,0
2023,"2023-06-04",9,"Arena do Grêmio",42207,"Grêmio","São Paulo","Renato Portaluppi","Dorival Júnior",4,8,2850,2510,29.6,27.7,2,1,2,1
2023,"2023-06-23",11,"Arena do Grêmio",15864,"Grêmio","América-MG","Renato Portaluppi","Vagner Mancini",3,18,2490,1050,26.5,30,3,1,1,1
2023,"2023-06-25",12,"Arena do Grêmio",37048,"Grêmio","Coritiba FC","Renato Portaluppi","Antônio Carlos Zago",2,20,2830,2140,29.1,26,5,1,1,1
2023,"2023-08-13",19,"Arena do Grêmio",38712,"Grêmio","Fluminense","Renato Portaluppi","Fernando Diniz",2,7,3800,4350,28.8,31.3,2,1,2,1
2023,"2023-11-12",34,"Arena do Grêmio",51842,"Grêmio","Corinthians","Renato Portaluppi","Mano Menezes",4,12,3120,2730,28.7,28.9,0,1,0,1
2023,"2023-11-30",36,"Arena do Grêmio",38683,"Grêmio","Goiás","Renato Portaluppi","Mário Henrique",5,18,2770,1175,29.4,28.9,2,1,0,1
